name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,group_plat,ventas_totales
brain age 2: more training in minutes a day,DS,2005,Puzzle,3.43,5.35,5.32,1.18,77.0,71.0,E,nintendo,15.28
pokemon black/pokemon white,DS,2010,Role-Playing,5.51,3.17,5.65,0.8,,,,nintendo,15.13
gran turismo 3: a-spec,PS2,2001,Racing,6.85,5.09,1.87,1.16,95.0,84.0,E,play,14.97
call of duty: modern warfare 3,X360,2011,Shooter,9.04,4.24,0.13,1.32,88.0,34.0,M,xbox,14.73
pokémon yellow: special pikachu edition,GB,1998,Role-Playing,5.89,5.04,3.12,0.59,,,,nintendo,14.64
call of duty: black ops 3,PS4,2015,Shooter,6.03,5.86,0.36,2.38,,,,play,14.63
call of duty: black ops,X360,2010,Shooter,9.7,3.68,0.11,1.13,87.0,63.0,M,xbox,14.62
pokemon x/pokemon y,3DS,2013,Role-Playing,5.28,4.19,4.35,0.78,,,,nintendo,14.6
call of duty: black ops ii,PS3,2012,Shooter,4.99,5.73,0.65,2.42,83.0,53.0,M,play,13.79
call of duty: black ops ii,X360,2012,Shooter,8.25,4.24,0.07,1.12,83.0,48.0,M,xbox,13.68
call of duty: modern warfare 2,X360,2009,Shooter,8.52,3.59,0.08,1.28,94.0,63.0,M,xbox,13.47
call of duty: modern warfare 3,PS3,2011,Shooter,5.54,5.73,0.49,1.57,88.0,32.0,M,play,13.33
grand theft auto iii,PS2,2001,Action,6.99,4.51,0.3,1.3,97.0,85.0,M,play,13.1
super smash bros brawl,Wii,2008,Fighting,6.62,2.55,2.66,1.01,93.0,89.0,T,nintendo,12.84
mario kart 7,3DS,2011,Racing,5.03,4.02,2.69,0.91,85.0,82.0,E,nintendo,12.65
call of duty: black ops,PS3,2010,Shooter,5.99,4.37,0.48,1.79,88.0,64.0,M,play,12.63
grand theft auto v,PS4,2014,Action,3.96,6.31,0.38,1.97,97.0,83.0,M,play,12.62
animal crossing: wild world,DS,2005,Simulation,2.5,3.45,5.33,0.86,86.0,87.0,E,nintendo,12.14
halo 3,X360,2007,Shooter,7.97,2.81,0.13,1.21,94.0,78.0,M,xbox,12.12
super mario 64,N64,1996,Platform,6.91,2.85,1.91,0.23,,,,nintendo,11.9
pokemon heartgold/pokemon soulsilver,DS,2009,Action,4.34,2.71,3.96,0.76,,,,nintendo,11.77
pokemon omega ruby/pokemon alpha sapphire,3DS,2014,Role-Playing,4.35,3.49,3.1,0.74,,,,nintendo,11.68
gran turismo 4,PS2,2004,Racing,3.01,0.01,1.1,7.53,89.0,85.0,E,play,11.65
super mario galaxy,Wii,2007,Platform,6.06,3.35,1.2,0.74,97.0,89.0,E,nintendo,11.35
super mario land 2: 6 golden coins,GB,1992,Adventure,6.16,2.04,2.69,0.29,,,,nintendo,11.18
grand theft auto iv,X360,2008,Action,6.76,3.07,0.14,1.03,98.0,79.0,M,xbox,11.0
gran turismo,PS,1997,Racing,4.02,3.87,2.54,0.52,96.0,87.0,E,play,10.95
super mario 3d land,3DS,2011,Platform,4.89,3.0,2.14,0.78,90.0,84.0,E,nintendo,10.81
gran turismo 5,PS3,2010,Racing,2.96,4.82,0.81,2.11,84.0,75.0,E,play,10.7
call of duty: modern warfare 2,PS3,2009,Shooter,4.99,3.64,0.38,1.6,94.0,63.0,M,play,10.61
super mario all-stars,SNES,1993,Platform,5.99,2.15,2.12,0.29,,,,nintendo,10.55
grand theft auto iv,PS3,2008,Action,4.76,3.69,0.44,1.61,98.0,75.0,M,play,10.5
pokemon firered/pokemon leafgreen,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,,,,nintendo,10.49
super mario 64,DS,2004,Platform,5.01,3.07,1.25,0.97,,,,nintendo,10.3
call of duty: ghosts,X360,2013,Shooter,6.73,2.56,0.04,0.91,73.0,26.0,M,xbox,10.24
just dance 3,Wii,2011,Misc,5.95,3.11,0.0,1.06,74.0,78.0,E10+,nintendo,10.12
new super mario bros 2,3DS,2012,Platform,3.66,3.14,2.47,0.63,78.0,72.0,E,nintendo,9.9
mario kart 64,N64,1996,Racing,5.55,1.94,2.23,0.15,,,,nintendo,9.87
halo: reach,X360,2010,Shooter,7.04,1.95,0.08,0.79,91.0,79.0,M,xbox,9.86
final fantasy vii,PS,1997,Role-Playing,3.01,2.47,3.28,0.96,92.0,92.0,T,play,9.72
halo 4,X360,2012,Shooter,6.65,2.28,0.04,0.74,87.0,70.0,M,xbox,9.71
gran turismo 2,PS,1999,Racing,3.88,3.42,1.69,0.5,93.0,90.0,T,play,9.49
just dance 2,Wii,2010,Misc,5.8,2.85,0.01,0.78,74.0,73.0,E10+,nintendo,9.44
call of duty: ghosts,PS3,2013,Shooter,4.1,3.63,0.38,1.25,71.0,26.0,M,play,9.36
call of duty 4: modern warfare,X360,2007,Shooter,5.93,2.36,0.13,0.9,94.0,84.0,M,xbox,9.32
donkey kong country,SNES,1994,Platform,4.36,1.71,3.0,0.23,,,,nintendo,9.3
minecraft,X360,2013,Misc,5.7,2.65,0.02,0.81,,,,xbox,9.18
animal crossing: new leaf,3DS,2012,Simulation,2.03,2.36,4.39,0.39,88.0,87.0,E,nintendo,9.17
mario party ds,DS,2007,Misc,4.4,1.85,1.98,0.68,72.0,78.0,E,nintendo,8.91
the elder scrolls v: skyrim,X360,2011,Role-Playing,5.05,2.79,0.1,0.85,96.0,84.0,M,xbox,8.79
super mario kart,SNES,1992,Racing,3.54,1.24,3.81,0.18,,,,nintendo,8.77
fifa 16,PS4,2015,Sports,1.12,6.12,0.06,1.28,82.0,43.0,E,play,8.58
halo 2,XB,2004,Shooter,6.82,1.53,0.05,0.08,95.0,82.0,M,xbox,8.48
wii party,Wii,2010,Misc,1.75,3.47,2.49,0.67,68.0,74.0,E,nintendo,8.38
mario party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,62.0,63.0,E,nintendo,8.26
fifa soccer 13,PS3,2012,Action,1.06,5.01,0.13,1.97,88.0,66.0,E,play,8.17
goldeneye 007,N64,1997,Shooter,5.8,2.01,0.13,0.15,,,,nintendo,8.09
pokemon black 2/pokemon white 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,,,,nintendo,8.06
final fantasy x,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,92.0,87.0,T,play,8.04
the sims 3,PC,2009,Simulation,0.99,6.42,0.0,0.6,86.0,76.0,T,pc,8.01
mario & sonic at the olympic games,Wii,2007,Sports,2.57,3.86,0.66,0.91,,,,nintendo,8.0
star wars battlefront (2015),PS4,2015,Shooter,2.99,3.49,0.22,1.28,,,,play,7.98
final fantasy viii,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,90.0,86.0,T,play,7.86
pac-man,2600,1982,Puzzle,7.28,0.45,0.0,0.08,,,,otros,7.81
pokémon platinum version,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,83.0,85.0,E,nintendo,7.71
grand theft auto: liberty city stories,PSP,2005,Action,2.9,2.81,0.24,1.73,88.0,76.0,M,play,7.68
call of duty: advanced warfare,PS4,2014,Shooter,2.81,3.48,0.14,1.23,83.0,57.0,M,play,7.66
the legend of zelda: ocarina of time,N64,1998,Action,4.1,1.89,1.45,0.16,,,,nintendo,7.6
fifa 17,PS4,2016,Sports,0.66,5.75,0.08,1.11,85.0,50.0,E,play,7.6
crash bandicoot 2: cortex strikes back,PS,1997,Platform,3.78,2.17,1.31,0.31,,,,play,7.57
super smash bros for wii u and 3ds,3DS,2014,Fighting,3.27,1.37,2.43,0.48,,,,nintendo,7.55
super mario galaxy 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,97.0,91.0,E,nintendo,7.51
super mario bros 2,NES,1988,Platform,5.39,1.18,0.7,0.19,,,,nintendo,7.46
call of duty: black ops 3,XOne,2015,Shooter,4.59,2.11,0.01,0.68,,,,xbox,7.39
call of duty: world at war,X360,2008,Shooter,4.81,1.88,0.0,0.69,84.0,76.0,M,xbox,7.38
battlefield 3,X360,2011,Shooter,4.46,2.11,0.06,0.69,84.0,74.0,M,xbox,7.32
need for speed underground,PS2,2003,Racing,3.27,2.83,0.08,1.02,85.0,86.0,E,play,7.2
just dance,Wii,2009,Misc,3.48,2.99,0.0,0.73,49.0,80.0,E10+,nintendo,7.2
battlefield 3,PS3,2011,Shooter,2.85,2.89,0.35,1.08,85.0,75.0,M,play,7.17
fallout 4,PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,87.0,65.0,M,play,7.17
tekken 3,PS,1998,Fighting,3.27,2.22,1.4,0.29,96.0,91.0,T,play,7.18
the legend of zelda: twilight princess,Wii,2006,Action,3.74,2.14,0.6,0.68,95.0,90.0,T,nintendo,7.16
pokemon sun/moon,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,,,,nintendo,7.14
crash bandicoot 3: warped,PS,1998,Platform,3.68,1.75,1.42,0.28,91.0,89.0,E,play,7.13
mario kart 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,88.0,91.0,E,nintendo,7.09
super smash bros melee,GC,2001,Fighting,4.41,1.04,1.39,0.22,92.0,91.0,T,nintendo,7.06
mario kart: double dash!!,GC,2003,Racing,4.12,1.77,0.87,0.19,,,,nintendo,6.95
need for speed underground 2,PS2,2004,Racing,2.71,3.02,0.08,1.09,82.0,86.0,E,play,6.9
medal of honor: frontline,PS2,2002,Shooter,2.93,2.75,0.17,0.99,88.0,85.0,T,play,6.84
crash bandicoot,PS,1996,Platform,3.23,2.35,0.94,0.3,,,,play,6.82
just dance 4,Wii,2012,Misc,4.05,2.16,0.0,0.55,74.0,73.0,E10+,nintendo,6.76
gears of war 2,X360,2008,Shooter,4.15,1.9,0.06,0.64,93.0,77.0,M,xbox,6.75
uncharted 3: drake's deception,PS3,2011,Action,2.77,2.75,0.19,1.03,92.0,83.0,T,play,6.74
zumba fitness,Wii,2010,Sports,3.45,2.59,0.0,0.66,,,E,nintendo,6.7
call of duty 4: modern warfare,PS3,2007,Shooter,3.11,2.26,0.28,1.03,94.0,84.0,M,play,6.68
uncharted 2: among thieves,PS3,2009,Action,3.27,2.2,0.21,0.98,96.0,88.0,T,play,6.66
fifa 12,PS3,2011,Sports,0.84,4.3,0.11,1.39,,,,play,6.64
big brain academy,DS,2005,Misc,1.66,2.75,1.6,0.62,74.0,74.0,E,nintendo,6.63
the legend of zelda,NES,1986,Action,3.74,0.93,1.69,0.14,,,,nintendo,6.5
red dead redemption,PS3,2010,Action,2.79,2.53,0.17,0.99,95.0,88.0,M,play,6.48
fifa 14,PS3,2013,Sports,0.78,4.24,0.07,1.37,86.0,43.0,E,play,6.46
assassin's creed iii,PS3,2012,Action,2.64,2.52,0.16,1.12,85.0,69.0,M,play,6.44
donkey kong country returns,Wii,2010,Platform,3.17,1.79,1.03,0.46,87.0,86.0,E,nintendo,6.45
halo: combat evolved,XB,2001,Shooter,4.98,1.3,0.08,0.07,97.0,86.0,M,xbox,6.43
the elder scrolls v: skyrim,PS3,2011,Role-Playing,2.55,2.6,0.25,1.0,92.0,64.0,M,play,6.4
pokémon emerald version,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,76.0,90.0,E,nintendo,6.42
kingdom hearts,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,85.0,88.0,E,play,6.4
pokémon crystal version,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,,,,nintendo,6.39
halo 3: odst,X360,2009,Shooter,4.34,1.34,0.06,0.61,83.0,71.0,M,xbox,6.35
red dead redemption,X360,2010,Action,3.7,1.95,0.09,0.58,95.0,90.0,M,xbox,6.32
super mario sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,92.0,86.0,E,nintendo,6.31
street fighter ii: the world warrior,SNES,1992,Fighting,2.47,0.83,2.87,0.12,,,,nintendo,6.29
world of warcraft,PC,2004,Role-Playing,0.08,6.21,0.0,0.0,93.0,73.0,T,pc,6.29
driver,PS,1999,Action,3.11,2.8,0.02,0.33,87.0,81.0,T,play,6.26
gears of war 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,91.0,78.0,M,xbox,6.21
kinect sports,X360,2010,Sports,3.92,1.73,0.03,0.51,73.0,74.0,E10+,xbox,6.19
gears of war,X360,2006,Shooter,3.54,1.88,0.07,0.6,94.0,83.0,M,xbox,6.09
fifa 15,PS4,2014,Sports,0.8,4.33,0.05,0.9,82.0,57.0,E,play,6.08
metal gear solid 2: sons of liberty,PS2,2001,Action,2.45,2.01,0.87,0.72,96.0,87.0,M,play,6.05
sonic the hedgehog 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,,,,otros,6.02
metal gear solid,PS,1998,Action,3.18,1.83,0.78,0.24,94.0,94.0,M,play,6.03
metal gear solid 4: guns of the patriots,PS3,2008,Action,2.63,1.71,0.83,0.82,94.0,87.0,M,play,5.99
final fantasy xii,PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,92.0,76.0,T,play,5.95
the last of us,PS3,2013,Action,2.41,2.18,0.28,0.99,95.0,91.0,M,play,5.86
littlebigplanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,95.0,68.0,E,play,5.82
resident evil 2,PS,1998,Action,1.88,1.47,2.02,0.45,89.0,92.0,M,play,5.82
dragon quest ix: sentinels of the starry skies,DS,2009,Role-Playing,0.63,0.67,4.35,0.15,87.0,88.0,E10+,nintendo,5.8
tekken 2,PS,1996,Fighting,2.26,1.89,1.36,0.23,89.0,89.0,T,play,5.74
destiny,PS4,2014,Shooter,2.49,2.07,0.16,0.92,76.0,61.0,T,play,5.64
lego star wars: the complete saga,Wii,2007,Action,3.57,1.55,0.0,0.51,80.0,89.0,E10+,nintendo,5.63
cooking mama,DS,2006,Simulation,3.07,1.91,0.07,0.57,67.0,72.0,E,nintendo,5.62
tetris,NES,1988,Puzzle,2.97,0.69,1.81,0.11,,,,nintendo,5.58
super smash bros,N64,1999,Fighting,2.95,0.6,1.97,0.04,,,,nintendo,5.56
assassin's creed ii,PS3,2009,Action,2.54,1.93,0.21,0.86,91.0,86.0,M,play,5.54
assassin's creed,X360,2007,Adventure,3.28,1.64,0.07,0.56,81.0,77.0,M,xbox,5.55
forza motorsport 3,X360,2009,Racing,2.99,1.9,0.1,0.5,92.0,80.0,E,xbox,5.49
super mario advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,84.0,78.0,E,nintendo,5.49
monster hunter freedom unite,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,81.0,87.0,T,play,5.49
batman: arkham city,PS3,2011,Action,2.71,1.85,0.11,0.81,96.0,86.0,T,play,5.48
grand theft auto v,XOne,2014,Action,2.81,2.19,0.0,0.47,97.0,79.0,M,xbox,5.47
mario kart: super circuit,GBA,2001,Racing,2.62,1.64,0.99,0.23,93.0,83.0,E,nintendo,5.48
super mario world,GBA,2001,Platform,3.21,1.11,0.95,0.2,,,,nintendo,5.47
pokemon stadium,N64,1999,Strategy,3.18,1.24,0.94,0.09,,,,nintendo,5.45
crash bandicoot: the wrath of cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,66.0,71.0,E,play,5.42
call of duty: world at war,PS3,2008,Shooter,2.73,1.83,0.0,0.83,85.0,76.0,M,play,5.39
uncharted 4: a thief's end,PS4,2016,Shooter,1.85,2.5,0.19,0.85,93.0,79.0,T,play,5.39
dr mario,GB,1989,Puzzle,2.18,0.96,2.0,0.2,,,,nintendo,5.34
final fantasy xiii,PS3,2009,Role-Playing,1.74,1.21,1.87,0.51,83.0,73.0,T,play,5.33
pokemon pinball,GB,1999,Misc,3.02,1.12,1.01,0.16,,,,nintendo,5.31
final fantasy ix,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,94.0,89.0,T,play,5.31
assassin's creed iii,X360,2012,Action,3.13,1.69,0.03,0.44,84.0,67.0,M,xbox,5.29
final fantasy x-2,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,85.0,66.0,T,play,5.28
donkey kong 64,N64,1999,Platform,3.33,0.79,1.09,0.06,,,,nintendo,5.27
call of duty: advanced warfare,XOne,2014,Shooter,3.22,1.55,0.01,0.48,81.0,54.0,M,xbox,5.26
minecraft,PS3,2014,Misc,2.03,2.37,0.0,0.87,,,,play,5.27
assassin's creed ii,X360,2009,Action,3.11,1.55,0.08,0.51,90.0,88.0,M,xbox,5.25
tomb raider ii,PS,1997,Action,2.3,2.46,0.2,0.28,85.0,,T,play,5.24
tomodachi life,3DS,2013,Simulation,0.97,2.11,1.9,0.24,,,,nintendo,5.22
new super mario bros u,WiiU,2012,Platform,2.3,1.34,1.27,0.32,84.0,81.0,E,nintendo,5.23
dragon quest viii: journey of the cursed king,PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,89.0,88.0,T,play,5.21
super mario bros 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,,,,nintendo,5.21
professor layton and the curious village,DS,2007,Puzzle,1.21,2.43,1.03,0.52,85.0,86.0,E,nintendo,5.19
super mario land 3: wario land,GB,1994,Platform,2.49,0.98,1.57,0.15,,,,nintendo,5.19
fifa soccer 13,X360,2012,Action,1.09,3.47,0.03,0.57,90.0,61.0,E,xbox,5.16
donkey kong country 2: diddy's kong quest,SNES,1995,Platform,2.1,0.74,2.2,0.11,,,,nintendo,5.15
diablo iii,PC,2012,Role-Playing,2.44,2.16,0.0,0.54,88.0,40.0,M,pc,5.14
medal of honor: rising sun,PS2,2003,Shooter,1.98,2.23,0.13,0.8,68.0,76.0,T,play,5.14
kirby's dream land,GB,1992,Platform,2.71,0.61,1.7,0.11,,,,nintendo,5.13
microsoft flight simulator,PC,1996,Simulation,3.22,1.69,0.0,0.2,,,,pc,5.11
guitar hero ii,PS2,2006,Misc,3.81,0.63,0.0,0.68,92.0,85.0,T,play,5.12
fable iii,X360,2010,Role-Playing,3.59,1.08,0.05,0.38,80.0,65.0,M,xbox,5.1
mario & sonic at the olympic games,DS,2008,Sports,1.63,2.45,0.44,0.57,,,,nintendo,5.09
resident evil 5,PS3,2009,Action,1.96,1.41,1.08,0.64,84.0,75.0,M,play,5.09
the legend of zelda: phantom hourglass,DS,2007,Action,1.85,1.8,0.95,0.48,90.0,80.0,E,nintendo,5.08
super mario bros,GB,1999,Platform,3.4,1.3,0.15,0.22,,,,nintendo,5.07
fifa soccer 11,PS3,2010,Sports,0.61,3.28,0.06,1.12,89.0,80.0,E,play,5.07
resident evil,PS,1996,Action,2.05,1.16,1.11,0.73,91.0,90.0,M,play,5.05
grand theft auto: vice city stories,PSP,2006,Action,1.7,1.99,0.16,1.18,86.0,80.0,M,play,5.03
tony hawk's pro skater,PS,1999,Sports,3.42,1.38,0.02,0.2,92.0,92.0,T,play,5.02
warzone 2100,PS,1999,Strategy,2.79,1.89,0.0,0.33,,,,play,5.01
spyro the dragon,PS,1998,Platform,3.36,1.36,0.07,0.21,,,,play,5.0
guitar hero iii: legends of rock,PS2,2007,Misc,3.49,0.01,0.01,1.48,82.0,82.0,T,play,4.99
link's crossbow training,Wii,2007,Shooter,3.05,1.17,0.29,0.46,68.0,71.0,T,nintendo,4.97
pokemon mystery dungeon: explorers of time/explorers of darkness,DS,2007,Role-Playing,1.83,1.19,1.54,0.37,,,,nintendo,4.93
fallout 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,93.0,85.0,M,xbox,4.93
uncharted: drake's fortune,PS3,2007,Action,2.31,1.72,0.12,0.77,88.0,81.0,T,play,4.92
madden nfl 06,PS2,2005,Sports,3.98,0.26,0.01,0.66,88.0,80.0,E,play,4.91
diddy kong racing,N64,1997,Racing,2.91,0.99,0.89,0.1,,,,nintendo,4.89
monster hunter freedom 3,PSP,2010,Role-Playing,0.0,0.0,4.87,0.0,,,,play,4.87
super smash bros for wii u and 3ds,WiiU,2014,Fighting,2.6,1.08,0.81,0.38,,,,nintendo,4.87
dr mario,NES,1990,Puzzle,2.62,0.6,1.52,0.1,,,,nintendo,4.84
starcraft ii: wings of liberty,PC,2010,Strategy,2.57,1.68,0.0,0.58,93.0,82.0,T,pc,4.83
assassin's creed,PS3,2007,Adventure,1.91,2.0,0.09,0.82,81.0,73.0,M,play,4.82
god of war iii,PS3,2010,Action,2.74,1.33,0.12,0.61,92.0,87.0,M,play,4.8
crash team racing,PS,1999,Racing,2.57,1.57,0.44,0.21,88.0,90.0,E,play,4.79
lego star wars: the complete saga,DS,2007,Action,2.83,1.48,0.0,0.45,80.0,54.0,E,nintendo,4.76
driver 2,PS,2000,Action,2.36,2.1,0.02,0.25,62.0,77.0,T,play,4.73
batman: arkham city,X360,2011,Action,2.99,1.27,0.04,0.42,94.0,87.0,T,xbox,4.72
the last of us,PS4,2014,Action,1.88,2.0,0.07,0.77,,,,play,4.72
the simpsons: hit & run,PS2,2003,Racing,1.73,2.19,0.0,0.79,,,,play,4.71
tony hawk's pro skater 2,PS,2000,Sports,3.05,1.41,0.02,0.2,98.0,77.0,T,play,4.68
the lord of the rings: the two towers,PS2,2002,Action,1.94,1.95,0.08,0.7,82.0,82.0,T,play,4.67
tomb raider,PS,1996,Action,2.29,1.97,0.13,0.24,91.0,86.0,T,play,4.63
animal crossing: city folk,Wii,2008,Simulation,1.82,1.12,1.32,0.36,73.0,76.0,E,nintendo,4.62
uncharted: the nathan drake collection,PS4,2015,Action,2.07,1.71,0.08,0.76,86.0,81.0,T,play,4.62
the legend of zelda: a link to the past,SNES,1991,Action,2.42,0.91,1.15,0.13,,,,nintendo,4.61
the legend of zelda: the wind waker,GC,2002,Action,2.6,0.99,0.89,0.13,96.0,89.0,E,nintendo,4.61
guitar hero iii: legends of rock,Wii,2007,Misc,3.04,1.11,0.0,0.43,86.0,84.0,T,nintendo,4.58
luigi's mansion: dark moon,3DS,2013,Action,1.8,1.39,1.11,0.29,86.0,84.0,E,nintendo,4.59
forza motorsport 4,X360,2011,Racing,2.08,1.97,0.06,0.46,91.0,82.0,E,xbox,4.57
mario & sonic at the olympic winter games,Wii,2009,Sports,1.87,1.96,0.22,0.48,,,,nintendo,4.53
madden nfl 2005,PS2,2004,Sports,4.18,0.26,0.01,0.08,91.0,79.0,E,play,4.53
guitar hero iii: legends of rock,X360,2007,Misc,3.19,0.91,0.01,0.42,85.0,79.0,T,xbox,4.53
pitfall!,2600,1981,Platform,4.21,0.24,0.0,0.05,,,,otros,4.5
madden nfl 07,PS2,2006,Sports,3.63,0.24,0.01,0.61,84.0,82.0,E,play,4.49
halo 5: guardians,XOne,2015,Shooter,2.78,1.27,0.03,0.41,84.0,64.0,T,xbox,4.49
spider-man: the movie,PS2,2002,Action,2.71,1.51,0.03,0.23,76.0,79.0,E,play,4.48
dragon quest vii: warriors of eden,PS,2000,Role-Playing,0.2,0.14,4.1,0.02,,,,play,4.46
call of duty: infinite warfare,PS4,2016,Shooter,1.61,2.0,0.15,0.71,77.0,34.0,M,play,4.47
god of war,PS2,2005,Action,2.71,1.29,0.02,0.43,94.0,89.0,M,play,4.45
splatoon,WiiU,2015,Shooter,1.54,1.18,1.46,0.26,81.0,85.0,E10+,nintendo,4.44
nintendo land,WiiU,2012,Misc,2.52,1.11,0.46,0.33,77.0,79.0,E10+,nintendo,4.42
tony hawk's pro skater 3,PS2,2001,Sports,2.66,1.29,0.01,0.46,97.0,75.0,T,play,4.42
winning eleven: pro evolution soccer 2007,PS2,2006,Sports,0.1,2.39,1.05,0.86,86.0,89.0,E,play,4.4
the elder scrolls iv: oblivion,X360,2006,Role-Playing,2.82,1.03,0.13,0.4,94.0,87.0,M,xbox,4.38
zelda ii: the adventure of link,NES,1987,Adventure,2.19,0.5,1.61,0.08,,,,nintendo,4.38
need for speed: most wanted,PS2,2005,Racing,2.03,1.79,0.08,0.47,82.0,91.0,T,play,4.37
michael jackson: the experience,Wii,2010,Misc,2.64,1.33,0.01,0.39,56.0,83.0,E10+,nintendo,4.37
call of duty: advanced warfare,PS3,2014,Shooter,1.56,1.93,0.19,0.68,,48.0,M,play,4.36
resistance: fall of man,PS3,2006,Shooter,1.74,1.72,0.14,0.75,86.0,81.0,M,play,4.35
sonic the hedgehog,GEN,1991,Platform,3.03,0.91,0.26,0.13,,,,otros,4.33
kingdom hearts ii,PS2,2005,Role-Playing,2.2,0.58,1.38,0.17,87.0,90.0,E10+,play,4.33
the legend of zelda: ocarina of time,3DS,2011,Action,2.09,1.31,0.62,0.31,,,,nintendo,4.33
super mario 3d world,WiiU,2013,Platform,2.11,1.16,0.73,0.32,93.0,90.0,E,nintendo,4.32
minecraft,PS4,2014,Misc,1.48,2.02,0.14,0.68,,,,play,4.32
asteroids,2600,1980,Shooter,4.0,0.26,0.0,0.05,,,,otros,4.31
call of duty: advanced warfare,X360,2014,Shooter,2.77,1.11,0.0,0.4,,49.0,M,xbox,4.28
fifa 15,PS3,2014,Sports,0.58,3.02,0.04,0.64,,45.0,E,play,4.28
fable ii,X360,2008,Role-Playing,2.51,1.24,0.11,0.41,89.0,65.0,M,xbox,4.27
namco museum,GBA,2001,Misc,3.0,1.11,0.05,0.07,79.0,73.0,E,nintendo,4.23
